Rank in 2020,Rank in 2019,Rank in 2018,3 year average rank,School name,Country,Audit year,Salary today (US$),Weighted salary (US$),Salary percentage increase,Value for money rank,Career progress rank,Aims achieved (%),Careers service rank,Employed at three months (%),Alumni recommend rank,Female faculty (%),Female students (%),Women on board (%),International faculty (%),International students (%),International board (%),International mobility rank,International course experience rank,Languages,Faculty with doctorates (%),FT research rank,CSR rank,,Value statement,No. of words,Clear,Realistic,Shorter,Easy to communicate,Easy to memorize,Easy to be explained,Focused,Unique,Decision Making guidance,Challenging,Mission Statements,,Customers,Products and Services,Markets,Technology,"Survival,  growth,  and profitability",Philosophy,Self-concept,Concern for public image,Concern for employees,Broad in scope,Less than 100 words in length,Less than 250 words in length,Inspiring,Socially responsible,Environmentally responsible,Reconciliatory,Enduring,Core values,No. of words,web source,
40,43,57,47,Indiana University: Kelley,US,2017,"135,101","137,049",133,48,78,90,3,94 (94),36,26,33,23,30,36,33,75,79,0,79,15,22,,"Our overarching vision is to be recognized as one of the most important business schools in the world. To achieve this vision,  we must be an elite school of choice for the best faculty,  students,  and external partners who fit both our mission and values.",45,Y,Y,N,Y,N,Y,Y,N,Y,Y,"The mission of the Kelley School of Business is to transform the lives of students,  organizations,  and society through management education,  research,  and service. Our aim is to:

develop a diverse body of students who are citizens of the world and who have a positive impact on their organizations and the communities in which they live, 
conduct and disseminate high-quality research that advances both business theory and practice,  and
serve,  directly and indirectly,  through instructional and research efforts,  constituents and communities at all levels of society—local,  national,  and international.",87,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"Values
At the Kelley School,  we are committed to maintaining a system of values grounded on:

Ethical conduct and integrity
Excellence,  professionalism,  and pride in all that we do
Personal initiative and individual responsibility
Full engagement of all of our faculty and staff in pursing the mission of the school
Ongoing innovation in our programs and scholarship
A spirit of collaboration,  civility,  respect,  and collegial conduct in all contexts
Open and forthright communication
Diversity and inclusiveness,  and
Just and equitable recognition for performance",73,https://kelley.iu.edu/about/index.html,
42,49,78,56,Indian Institute of Management Calcutta,India,2020,"165,900","165,900",138,34,5,86,51,100 (100),28,23,11,29,3,0,14,69,81,0,100,100,90,,To be an international centre of excellence in all aspects of management education.,13,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,The mission of the Institute is to develop innovative and ethical future leaders capable of managing change and transformation in a globally competitive environment and to advance the theory and practice of management,33,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,"We shall strive to develop and sustain the following values to provide the context for all our programmes and activities -

Excellence, 
Academic Freedom, 
Commitment, 
Responsiveness to Societal Needs, 
Creativity, 
Openness, 
Diversity with Synergy",33,https://www.iimcal.ac.in/about/about/our-mission-and-values ,
43,36,41,40,Warwick Business School,UK,2020,"117,047","117,047",78,16,43,88,14,90 (93),47,41,39,33,77,91,11,23,21,1,100,30,19,,"To be Europe’s leading University-based Business School,  developing transformational ideas and people that shape how we do business.",18,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,"Our vision is supported by our three-fold mission statement:

To develop cutting-edge research that leads debate and deepens our understanding of the practice of business and management.
To provide a transformational learning experience,  enabling our stakeholders to realise their full potential.
To work in partnership with policy and practice,  both in terms of our research and teaching activities,  to catalyse the impact of our work.
Our vision statement captures where we aim to be. Our mission statement captures who we are and the essence of what we do.",84,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,,0,https://www.wbs.ac.uk/about/difference/mission/,
44,54,50,49,Washington University: Olin,US,2020,"131,207","131,207",112,66,69,88,61,81 (99),78,29,49,69,35,47,50,62,63,0,97,9,29,,"Provide world-changing business education,  research,  and impact.",7,Y,Y,Y,Y,Y,Y,N,N,N,N,"Produce world-class business and organizational leaders who have a strong value system and think on a global scale,  regardless of the size and location of their organization.
Produce and disseminate path-breaking research that impacts business and society.
Provide a return on investment for our students and alumni over their entire careers.
Engage meaningfully with business and government to create a better society.",59,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,"Integrity: We are honest and authentic,  we keep our commitments,  we are true to our values,  and we live up to our social and moral obligations.
Collaboration: We develop positive relationships with others as we work to achieve individual and collective goals.
Diversity: We appreciate the value of diverse backgrounds and strive to create a community of inclusion,  mutual understanding,  and respect so each person’s value can be fully leveraged.
Excellence: We strive to achieve the highest standards of behavior,  quality,  and professionalism in all that we do.
Leadership: We take initiative to solve problems and make positive changes in our businesses and in our communities,  regardless of what position we might hold.",109,https://olin.wustl.edu/EN-US/about-olin/Pages/Mission.aspx,
45,59,36,47,Alliance Manchester Business School,UK,2020,"130,954","128,745",103,52,31,87,36,85 (92),68,35,38,50,48,91,67,31,29,0,94,89,3,,"Our vision is to be a world-renowned Business School,  harnessing virtuosity for the enduring benefit of humankind.As part of The University of Manchester,  our vision works to achieve that of the University. Manchester 2020,  The University of Manchester’s Strategic Plan sets out an exciting agenda for making our Institution one of the leading universities in the world by 2020.",59,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,"Our mission is to give everyone the opportunity to transform their lives and,  in doing so,  help them transform the organisations they work for and the wider communities in which they live.",30,Y,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,,0,https://www.alliancembs.manchester.ac.uk/,
45,52,73,57,Vanderbilt University: Owen,US,2019,"148,039","148,039",132,61,28,91,6,95 (98),49,29,37,9,13,20,6,99,73,0,96,70,65,,"Motto Observance and Sincere Uprightness
Fudan upholds the spirit of patriotism,  solidarity,  service,  and sacrifice. Its motto is scientia et studium,  quaestio et cogitatio,  which means rich in knowledge and tenacious of purposes,  inquiring with ear",35,,,,,,,,,,,"We provide world-class business education on a personal scale. We pursue this mission through a portfolio of programs in a diverse,  close-knit and collaborative community of inquiry and discovery. We provide a transformative experience for individuals seeking leadership roles in organizations of all kinds.",30,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,"1-We are competitive,  not cutthroat: This,  we believe,  is our defining strength. Because while we live to prove ourselves by competing,  we also know that winning doesn't mean leaving others behind. At Vanderbilt,  we grow the most when we learn from each other. 2-We solve problems collaboratively: Our culture is collaborative above all else. And that's purposeful,  because the business world thrives on teamwork. Which is good,  because working together is what makes us stand out. 3-We lead with ideas,  not egos: It's just in our character to believe that effort will always outdo entitlement. So while Vanderbilt Business graduates will proudly display their diplomas on their office walls,  they'd much rather get down to business than talk about their pedigree. 4-We dig deeper: It starts with our faculty. You will find their work in top academic journals. But it doesn't stop there. Their ideas and expertise spill over into the classroom and influence ever-evolving business beliefs and practices. This curiosity to stretch,  learn and grow is practiced by all members of our community. Yes,  it's extra effort. But the dividends are worth it. 5-We work harder than most. (And like it that way.): Knowledge is only half of the equation. Effort is just as essential. And it's something that's often overlooked at top schools. We fill our school with people who are willing to roll up their sleeves and do what it takes to get the job done. Going that extra mile is standard practice here,  where the lights stay on late and the coffee brews before dawn. 6-We challenge the status quo: Like many top business schools,  we receive high marks and rankings. But that doesn't mean we're content. We're constantly looking ahead. (It's the best way not to get left behind.) We love to challenge assumptions. Many times we end up reinforcing long-held business rules. But often,  we find a new way that's different and better—and we find it first. 7-We take business personally: Most business schools place a big emphasis on numbers. Our passion is people. Talk to any Vanderbilt professor. Or student. Or staff member. Or alumnus. The first thing you'll notice is a genuine desire to help each member of our community succeed. That isn't accidental. In fact,  it's part of our collective DNA. An emphasis on each individual is something we'll never lose. 8-We're building a new type of business leader: Vanderbilt exists for a certain type of student—the type that we think will change the world for the better. We're the B-school built for the persistent. The genuine. The professional who knows he or she hasn't heard it all before—and uses that humility to grow. To learn. To change. Where we come from,  that's called wisdom.",454,https://business.vanderbilt.edu/,
47,49,48,48,University of Washington: Foster,US,2020,"143,449","143,074",109,63,98,89,58,99 (100),50,35,33,21,32,34,7,81,91,0,91,6,48,,"The University of Washington educates a diverse student body to become responsible global citizens and future leaders through a challenging learning environment informed by cutting-edge scholarship.
",26,Y,Y,N,Y,N,Y,Y,Y,Y,Y,"The primary mission of the University of Washington is the preservation,  advancement,  and dissemination of knowledge.",16,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,"Integrity, Diversity,  Excellence, Collaboration     , Innovation, Respect",7,https://www.washington.edu/about/visionvalues/,
47,-,-,-,Shanghai University of Finance and Economics: College of Business,China,-,"119,531","119,531",216,4,4,78,33,98 (100),91,36,62,27,5,15,55,100,97,1,98,93,55,,Build a world-class business school with distinctive financial characteristics.,9,Y,Y,Y,Y,Y,Y,Y,N,N,N,"Cultivate business talents,  innovate business research,  empower business practices,  and spread business civilization.",13,N,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,"Honesty and trustworthiness,  responsibility,  pursuit of excellence,  respect and tolerance",10,https://cob.sufe.edu.cn/Home/Detail/1705,
47,38,47,44,Emory University: Goizueta,US,2020,"149,369","149,532",119,62,54,90,20,95 (99),38,32,31,21,24,47,0,66,57,0,94,66,86,,,0,,,,,,,,,,,"Our mission is to prepare principled leaders to have a positive influence on business and society.

",16,N,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,"Goizueta Business School values diversity,  equity,  and inclusion for every person without exception. This commitment uplifts individuals,  enriches communities,  and advances our mission to prepare principled leaders.",27,  https://goizueta.emory.edu/about/diversity-equity-inclusion/values,
50,64,46,53,"City,  University of London,  The Business School (formerly Cass)",UK,2017,"134,298","133,679",93,38,16,85,53,93 (73),66,30,34,50,74,82,57,26,28,0,93,71,36,,,0,,,,,,,,,,,"At Cass,  we help individuals thrive in a dynamic,  interconnected world. We blend cutting-edge theory and practice,  inspiring our vibrant London home,  while engaging our international network. Among the leading global business schools,  the Cass approach is uniquely energising; personal yet global,  intellectual yet practical,  passionate yet disciplined. Resulting leadership enables agility,  distinction and sustainability. Knowledge – we create knowledge that fosters impactful thought leadership, Education – we personalise learning experiences to build skills,  distinction,  and agility, Community – we excel together,  helping our staff,  alumni,  partners and institution thrive.",90,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,,0,https://www.cass.city.ac.uk/,
50,57,43,50,CUHK Business School,China,2016,"124,603","124,603",119,57,29,89,69,82 (95),84,29,24,25,53,33,67,21,20,0,99,39,60,,To develop global business leaders for the Asian Century.,9,Y,N,Y,Y,Y,N,Y,N,N,Y,"Our mission is to continue to pioneer the development of global leaders equipped to meet the challenges and opportunities of the Asian Century by providing a rich learning environment affording opportunities for self-discovery,  character-building,  knowledge creation,  sharing and application.",39,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,"Innovation, Global Perspective, Social Purpose",5,ttps://www.bschool.cuhk.edu.hk/cuhk-business-school/,
52,31,-,-,IE Business School,Spain,2019,"134,831","135,422",83,59,33,81,100,92 (90),25,41,32,50,71,93,96,24,78,1,100,73,4,,"Developing ideas and leaders that transform the world to train the future,  the future is yours.",16,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Our mission is twofold: we are committed to educating and developing leaders and builders of enterprises who create value for their stakeholders and society at large,26,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,"Respect, integrity, excellence",3,https://www.ie.edu/business-school/,
53,60,54,56,Georgia Institute of Technology: Scheller,US,2017,"138,586","138,586",138,26,79,89,5,96 (100),56,27,40,27,27,22,10,85,83,0,81,42,71,,"Georgia Tech students who participate in the career center’s educational and experiential offerings will not only graduate with a promising future; they will be equipped with the career management skills and knowledge necessary for navigating that future and making a difference in the world through innovative,  purposeful leadership",48,Y,Y,Y,Y,N,Y,Y,N,Y,N,"To provide career education,  resources,  and experiential opportunities to Georgia Tech students across all majors so that they are positioned to launch and sustain satisfying and successful careers that make a meaningful contribution to society. In collaboration with campus and global community partners,  we aim to support a broad spectrum of career directions,  including: employment in private,  public,  and non-profit sectors; pursuit of graduate studies,  professional school,  and prestigious fellowships; entrepreneurship and innovation; research; and service activities. ",77,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,"integrity, respect, community, accountability",4,https://career.gatech.edu/mission-vision,
54,42,51,49,Sungkyunkwan University GSB,S Korea,2019,"128,188","128,188",98,27,14,86,9,89 (97),98,19,53,54,67,53,77,51,7,1,100,97,93,,,0,,,,,,,,,,,SKK GSB is to advance business knowledge in a multicultural learning environment in order to develop socially responsible managers who will lead in a global organization.,26,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"excellence,  integrity,  courage,  global ",4,https://gsb.skku.edu/en/About/Why.do,
55,39,51,48,Imperial College Business School,UK,2018,"122,258","122,258",64,53,57,89,57,91 (100),44,30,33,38,95,91,77,28,19,1,100,59,8,,To benefit business and improve society through the power of innovative thinking.,12,Y,Y,Y,Y,Y,Y,Y,N,N,N,"We inspire brilliant minds to be the world’s future leaders of business and society. We drive global business and social transformation through the fusion of business,  technology and an entrepreneurial mindset.",31,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,"excellence,  integrity,  courage",3,https://www.imperial.ac.uk/business-school/about-us/,
56,41,33,43,HKU Business School,China,2019,"129,702","129,702",113,60,34,83,72,77 (98),76,23,51,25,33,98,33,35,6,0,98,67,85,,"To be a leading,  globally-impactful academic institution of business and economics.",11,Y,Y,Y,Y,Y,Y,Y,N,N,N,To provide world-leading business and economics education that nurtures dynamic and responsible leaders./To advance the frontiers of knowledge through innovative and globally-significant research./To create positive change in the world by partnering with communities.,33,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,,0,https://www.fbe.hku.hk/about-us/overview/vision-mission/,
57,56,45,53,Rice University: Jones,US,2019,"148,736","149,332",103,55,90,91,30,92 (95),53,28,38,17,33,29,0,70,67,0,93,48,96,,Rice Business will be widely recognized for its impact on the understanding of how individuals and organizations succeed and improve the world through their activities and for the capabilities of its graduates to lead or launch highly effective and innovative firms.,41,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,"Developing principled,  innovative thought leaders in global communities.",8,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,Y,Y,,0,https://business.rice.edu/sites/default/files/2021-02/state-of-school-hybrid-jan21_0.pdf,
57,58,77,64,University of Notre Dame: Mendoza,US,2016,"140,924","140,924",142,46,37,90,28,90 (98),75,23,24,15,16,37,6,83,60,0,80,58,38,,"We are committed to our mission to Grow the Good in Business by developing leaders who contribute to human flourishing,  cooperate with others in solidarity and compete toward becoming the best version of themselves through serving others.",37,Y,Y,Y,Y,N,Y,Y,N,Y,Y,"To build a premier Catholic business school that fosters academic excellence,  professional effectiveness and personal accountability in a context that strives to be faithful to the ideals of community,  human development and individual integrity.",34,N,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,,0,https://mendoza.nd.edu/about/,
59,63,75,66,Pennsylvania State University: Smeal,US,2017,"133,483","133,483",131,2,74,88,48,83 (100),59,30,30,22,23,36,6,64,40,0,84,38,70,,"The vision of the Smeal College is to be one of the very best business schools in the world,  producing leading-edge business research brought to life in active learning environments by an outstanding diverse faculty,  and preparing graduates for productive careers in business.",43,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,"The College mission is to achieve the vision by meeting three goals:
•Providing extraordinary education – research-informed,  business-engaged,  globally aware education that prepares students for professional achievement,  societal contributions,  and lifelong learning;
•Producing the highest quality basic and applied research with impact;
•Building our culture of integrity,  diversity,  service,  and sustainability.",48,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,"Integrity: We act with integrity and honesty in accordance with the highest academic,  professional,  and ethical standards.
Respect: We respect and honor the dignity of each person,  embrace civil discourse,  and foster a diverse and inclusive community.
Responsibility: We act responsibly,  and we are accountable for our decisions,  actions,  and their consequences.
Discovery: We seek and create new knowledge and understanding,  and foster creativity and innovation,  for the benefit of our communities,  society,  and the environment.
Excellence: We strive for excellence in all our endeavors as individuals,  an institution,  and a leader in higher education.
Community: We work together for the betterment of our University,  the communities we serve,  and the world.",107,https://www.smeal.psu.edu/about-smeal,
60,66,81,69,Babson College: Olin,US,2018,"148,155","148,155",116,71,3,87,75,78 (86),33,38,30,21,18,80,21,49,85,0,84,87,74,,Lead the transformation of undergraduate engineering learning experience to educate the next generation of innovators who want to better the world.,21,Y,Y,Y,Y,N,Y,Y,N,Y,Y,"Olin College prepares students to become exemplary engineering innovators who recognize needs,  design solutions and engage in creative enterprises for the good of the world. Olin is dedicated to continual discovery and development of effective learning approaches and environments,  and to co-developing educational transformation with collaborators around the globe.",49,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,"Integrity, Collaboration, Diversity,  Equity and Openness to Change Institutional values :
Quality and Continuous Improvement
Student Learning and Student Development
Institutional Integrity and Community
Institutional Agility and Entrepreneurism
Stewardship and Service",26,https://www.olin.edu/about/at-a-glance/vision-mission/,
61,47,31,46,Indian Institute of Management Ahmedabad,India,2020,"186,866","186,866",91,51,7,76,99,97 (98),13,21,23,36,1,1,0,59,40,0,100,99,86,,IIMA aims to continue to be recognized as a premier global management school operating at the frontiers of management education and practice while creating a progressive and sustainable impact on society.,31,Y,Y,Y,Y,N,Y,Y,N,Y,Y,,0,,,,,,,,,,,,,,,,,,,0,https://www.iima.ac.in/web/about-iima/home/vision-and-strategic-priorities,
62,43,64,56,Durham University Business School,UK,2017,"110,506","110,506",107,3,44,83,55,94 (90),93,34,57,38,69,95,75,44,40,1,98,91,7,,"Internationally accredited,  Durham University Business School is proudly integral to one of the world’s prestigious universities. Our vision is to lead business thought and practice to improve global wealth and well-being.",31,Y,Y,Y,Y,N,Y,Y,N,Y,Y,"Our mission is to develop and enthuse leaders and entrepreneurs who create,  share and use knowledge to deliver equitable and sustainable futures around the world.",25,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,"Inspiring By stimulating an instinct to challenge,  encouraging innovative thinking and taking our responsibilities seriously,  we foster a culture that inspires the extraordinary ,  Challenging Always curious,  we challenge ourselves and each other to answer the big questions and create a positive impact in the world, Innovative From creative teaching practices and cutting edge research to new ways of working,  innovation is at the heart of what we do, Responsible We take our duties as a centre of learning,  neighbour and employer seriously,  embracing all of our different communities and celebrating the differences that make us stronger together, Enabling We create the opportunities,  support and freedom for everyone at Durham to become the best they can be now,  and for the future",122,https://www.dur.ac.uk/business/about/mission-and-values/,
63,43,49,52,Singapore Management University: Lee Kong Chian,Singapore,2020,"115,039","115,039",125,45,89,87,73,69 (97),60,23,49,33,63,76,53,27,56,0,98,49,99,,"To be a world-renowned global city university,  tackling the world's complexities,  Impacting humanity positively.",14,Y,Y,Y,Y,N,Y,Y,N,Y,N,"We create business knowledge,  and nurture keen minds to lead organisations and serve society.This mission statement underscores two important aspects of the school's reason for being - that is,  we create and disseminate knowledge. With respect to the first,  we aspire to be recognized as a place where high quality,  scholarly research is undertaken. With respect to the second,  we strive not simply to impart business skills to our graduates,  but to also provide an environment that pushes them to excel and that cultivates their leadership potential. In addition,  we want to imbue in our graduates the sense of being part of a larger community and the consequent need to act in service of society.",115,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,"INDUSTRY Strengthen industry engagement through a dedicated unit ,  INNOVATION Support all innovation and entrepreneurship activities through a university-level body, INTERNATIONALISATION Expand our international footprint and connections through like-minded partners and institutions and INTEGRATION
Develop more integrated OneSMU approaches in multiple activities and offerings",43,https://business.smu.edu.sg/business/about/our-history-and-mission   - https://www.smu.edu.sg/about/vision2025,
64,71,94,76,WHU – Otto Beisheim School of Management,Germany,2016,"125,238","125,238",84,25,61,90,45,78 (90),73,22,47,12,31,80,12,20,3,0,100,86,24,,"WHU is respected as an excellent player among the top European Business Schools with thought-leading impact on four target groups:
1) researchers,  2) students,  3) managers,  and 4) policymakers. 
WHU generates knowledge from independent,  high-quality research and from close connections between academics and the business community.",45,N,Y,N,N,N,N,Y,Y,Y,Y,"At WHU – Otto Beisheim School of Management,  we shape personalities and business by delivering excellence in research,  teaching,  and corporate connections",22, N,Y,N,N,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,".Our students embody the term ‘WHU Spirit’. Their intellectual,  cultural,  and social commitment can be seen in about 30 student clubs that impact Vallendar,  Düsseldorf,  Germany,  and the world. WHU pays particular attention to the core brand values excellence,  community,  cosmopoliteness,  and entrepreneurship. Our positioning ""We foster Courage and Commitment"" underpins these core values",52,https://www.whu.edu/en/about-whu/about-whu,
65,48,64,59,University of California at Irvine: Merage,US,2016,"135,170","135,170",113,68,85,89,32,71 (100),81,45,27,32,35,31,12,63,55,0,94,35,89,,To be at the forefront of education and research among globally preeminent business schools.,14,Y,Y,Y,Y,N,Y,Y,N,Y,Y,"Develop globally-competitive transformational leaders in a diverse,  collaborative,  student-centric community where academic excellence and practical application coalesce.",17,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,,0,https://merage.uci.edu/why-merage/strategic-plan.html,
66,55,37,53,"Rotterdam School of Management,  Erasmus University",Netherlands,2016,"115,375","115,955",76,43,48,86,90,88 (93),46,28,38,23,55,99,23,2,33,0,98,26,62,,for a better future,4,Y,Y,Y,Y,Y,Y,N,N,Y,Y,To be a force for positive change in the world.,10,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,"critical,  creative,  caring and collaborative,  and is committed to the UN’s 17 Sustainable Development Goals as a framework for its mission.",21,https://www.rsm.nl/positive-change/our-mission/,
67,68,86,74,Boston University: Questrom,US,2018,"128,696","128,696",136,54,76,89,94,92 (90),51,35,46,13,31,46,56,61,90,0,72,44,18,,Creating Value for the World,5,Y,Y,Y,Y,N,Y,Y,N,Y,Y,"We prepare innovative and ethical leaders who understand the impact of business on society and create value for the world. Our students comprehend organizational systems,  the vital role of leadership,  and the forces transforming the global economy. We generate scholarly knowledge and insights that advance management practice through our research,  teaching,  and community engagement.",54,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,"We believe In truth,  the only foundation of success.In service,  the motive of business.In the golden rule,  the unchanging standard of conduct.In the consciousness of service performed,  the sufficient reward of endeavor.",32,https://www.bu.edu/questrom/about/,
68,69,60,66,University of St Gallen,Switzerland,2018,"127,022","127,022",73,15,50,89,54,83 (100),58,16,26,50,81,93,50,3,69,0,100,80,69,,"As a leading business university we set global standards for research and teaching by promoting integrative thought,  responsible action and an entrepreneurial spirit of innovation in business and society.",29,Y,Y,Y,Y,N,Y,Y,N,Y,Y,"We are striving to be the best business school in the German-speaking world when it comes to innovative teaching and research in the field of management education. Students are sure to find an attractive,  international learning environment that is relevant to research and practical applications. We actively promote the international character of the faculty and the students and cultivate a network of over 150 partner universities worldwide.",67,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,"driven,  collaborative,  proficient,  comprehensive",4,https://www.unisg.ch/en/universitaet/ueber-uns/vision/unsere-marke,
69,-,-,-,Northeastern University: D'Amore-McKim,US,2013,"107,350","107,350",159,64,99,86,24,90 (100),85,28,53,29,26,28,0,32,44,0,89,47,82,,"D’Amore-McKim will be widely recognized as a preeminent business school that generates impactful knowledge and develops leaders who will shape business in a landscape of digital convergence.By doing so,  we will become the school of choice for elite talent around the world.",42,Y,Y,Y,Y,N,Y,N,Y,N,Y,"Educate leaders and thinkers to be prepared for the future of work in a world being shaped by digital convergence,  we contribute use-inspired thought to the global business world that empowers companies to be prepared for this future and foster an inclusive culture of excellence that transforms lives.",48,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,"Access,  excellence,  innovation,  focus on students,  and global vision",9,https://damore-mckim.northeastern.edu/defining-our-future-damore-mckim-2025/,
70,90,-,-,George Washington University,US,2016,"129,356","129,356",115,85,75,89,81,88 (88),67,31,40,29,35,42,4,74,36,0,96,62,31,,"Over the next decade,  the Office for Diversity,  Equity,  and Community Engagement will establish itself as a resource for diversity expertise and help GW become internationally renowned for inclusive excellence. GW's vision for excellence includes transforming itself and higher education by attracting,  retaining and leveraging the talents of diverse individuals to facilitate first-rate teaching,  learning,  scholarship and service in a climate that is welcoming and inclusive.",66,Y,Y,Y,N,N,N,Y,N,Y,Y,"The Office for Diversity,  Equity,  and Community Engagement supports GW’s strategic priorities and aspirations for academic excellence by providing diversity expertise,  tools,  data and programming that inform and shape curricular,  research,  administrative and outreach activities to: improve teaching and learning outcomes; facilitate mentoring and leadership development; increase the dissemination and application of knowledge; and build and sustain vital community partnerships.",60,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,"Collaboration,  Respect,  Openness,  innovation,  and Diversity ",6,https://diversity.gwu.edu/vision-and-mission,
71,77,61,70,Mannheim Business School,Germany,2020,"124,415","124,415",83,9,67,87,91,98 (87),61,28,21,60,23,89,0,11,68,0,100,72,33,,"Holding a top position in Germany is an honor and an obligation at the same time. For the future,  our vision is to be among the top business schools in Europe and to hold a respective position internationally. Our research shall have a growing impact on practice and on academic literature. We will bring forth leaders with a global outreach,  who will use their potential to engage with businesses and society to make a valuable difference.",76,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Serves the Business School of the University of Mannheim and therefore also Mannheim Business School as a guiding principle for our work.,22,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,"Academic excellence as well as rigor and relevance in research,  thought leadership innovation,  critical thinking,  diversity,  integrity,  accountability,  responsibility,  and transparency. ",21,https://www.mannheim-business-school.com/en/the-school/mission-vision-values-and-goals/mission-statement/,
72,84,68,75,Ohio State University: Fisher,US,2020,"137,172","137,172",134,29,97,86,71,93 (99),63,31,36,26,22,23,4,90,65,0,67,32,28,,"The Ohio State University is the model 21st-century public,  land grant,  research,  urban,  community engaged institution. To be the world’s leader in connecting leadership research to experiential leader development and practical solutions to leadership problems.

",35,Y,Y,Y,Y,N,Y,N,N,N,Y,"Creating and discovering knowledge to improve the well-being of our state,  regional,  national and global communities,  ducting students through a comprehensive array of distinguished academic programs,  preparing a diverse student body to be leaders and engaged citizens and fostering a culture of engagement and service.

",45,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,"Excellence,  diversity in people and of ideas,  inclusion,  access and affordability,  innovation,  collaboration and multidisciplinary endeavor,  Integrity,  transparency and trust. ",20,https://oaa.osu.edu/mission-vision-values-and-core-goals,
73,72,55,67,University of Maryland: Smith,US,2020,"131,642","131,642",117,67,93,88,43,88 (99),79,35,35,32,27,41,9,89,88,0,87,31,84,,,0,,,,,,,,,,,"Create knowledge,  promote an inclusive learning environment that fosters intellectual discovery,  and equip current and future leaders to assess complex problems and deliver innovative solutions. ",25,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,"We do the right things,  the right way. We embrace challenges and opportunities.
We have a collective passion for excellence.",19,https://www.rhsmith.umd.edu/about-us/mission-values,
74,92,91,86,SMU: Cox,US,2016,"134,659","134,659",105,70,30,90,44,89 (95),65,29,34,11,42,35,5,93,37,0,92,79,65,,,0,,,,,,,,,,,"Southern Methodist University will create,  expand,  and impart knowledge through teaching,  research,  and service,  shaping world changers who contribute to their communities and excel in their professions in a global society.",31,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Excellence. Integrity. Intellectual freedom. Open dialogue. Diversity and Inclusion,9,https://www.smu.edu/AboutSMU/Mission,
